ParliamentNumber,SessionNumber,DecisionEventDateTime,DecisionDivisionNumber,PersonShortSalutation,ConstituencyName,VoteValueName,PersonOfficialFirstName,PersonOfficialLastName,ConstituencyProvinceTerritoryName,CaucusShortName,IsVoteYea,IsVoteNay,IsVotePaired,DecisionResultName,PersonId
44,1,2022-03-24T18:13:00,47,Mr.,Edmonton Manning,Nay,Ziad,Aboultaif,Alberta,Conservative,false,true,false,Agreed To,89156
44,1,2022-03-24T18:13:00,47,Mr.,Parry Sound—Muskoka,Nay,Scott,Aitchison,Ontario,Conservative,false,true,false,Agreed To,105340
44,1,2022-03-24T18:13:00,47,Mr.,Central Okanagan—Similkameen—Nicola,Nay,Dan,Albas,British Columbia,Conservative,false,true,false,Agreed To,72029
44,1,2022-03-24T18:13:00,47,Mr.,Cloverdale—Langley City,Yea,John,Aldag,British Columbia,Liberal,true,false,false,Agreed To,89258
44,1,2022-03-24T18:13:00,47,Mr.,Mississauga Centre,Yea,Omar,Alghabra,Ontario,Liberal,true,false,false,Agreed To,89535
44,1,2022-03-24T18:13:00,47,Mr.,Brampton Centre,Yea,Shafqat,Ali,Ontario,Liberal,true,false,false,Agreed To,110339
44,1,2022-03-24T18:13:00,47,Mr.,Niagara West,Nay,Dean,Allison,Ontario,Conservative,false,true,false,Agreed To,25446
44,1,2022-03-24T18:13:00,47,Ms.,Oakville,Yea,Anita,Anand,Ontario,Liberal,true,false,false,Agreed To,96081
44,1,2022-03-24T18:13:00,47,Mr.,Scarborough—Rouge Park,Yea,Gary,Anandasangaree,Ontario,Liberal,true,false,false,Agreed To,89449
44,1,2022-03-24T18:13:00,47,Mr.,Timmins—James Bay,Yea,Charlie,Angus,Ontario,NDP,true,false,false,Agreed To,25470
44,1,2022-03-24T18:13:00,47,Mr.,North Okanagan—Shuswap,Nay,Mel,Arnold,British Columbia,Conservative,false,true,false,Agreed To,89294
44,1,2022-03-24T18:13:00,47,Mr.,Madawaska—Restigouche,Yea,René,Arseneault,New Brunswick,Liberal,true,false,false,Agreed To,89383
44,1,2022-03-24T18:13:00,47,Mr.,Nepean,Yea,Chandra,Arya,Ontario,Liberal,true,false,false,Agreed To,88860
44,1,2022-03-24T18:13:00,47,Ms.,Churchill—Keewatinook Aski,Yea,Niki,Ashton,Manitoba,NDP,true,false,false,Agreed To,36037
44,1,2022-03-24T18:13:00,47,Mrs.,Fredericton,Yea,Jenica,Atwin,New Brunswick,Liberal,true,false,false,Agreed To,104586
