ParliamentNumber,SessionNumber,DecisionEventDateTime,DecisionDivisionNumber,PersonShortSalutation,ConstituencyName,VoteValueName,PersonOfficialFirstName,PersonOfficialLastName,ConstituencyProvinceTerritoryName,CaucusShortName,IsVoteYea,IsVoteNay,IsVotePaired,DecisionResultName,PersonId
38,1,2005-06-27T23:30:26,148,Mr.,Kootenay—Columbia,Yea,Jim,Abbott,British Columbia,Conservative,true,false,false,Negatived,1463
38,1,2005-06-27T23:30:26,148,Mrs.,Calgary—Nose Hill,Yea,Diane,Ablonczy,Alberta,Conservative,true,false,false,Negatived,1295
38,1,2005-06-27T23:30:26,148,Mr.,Peterborough,Nay,Peter,Adams,Ontario,Liberal,false,true,false,Negatived,914
38,1,2005-06-27T23:30:26,148,Mr.,Winnipeg South,Nay,Reg,Alcock,Manitoba,Liberal,false,true,false,Negatived,1180
38,1,2005-06-27T23:30:26,148,Mr.,Niagara West—Glanbrook,Yea,Dean,Allison,Ontario,Conservative,true,false,false,Negatived,25446
38,1,2005-06-27T23:30:26,148,Ms.,Edmonton—Spruce Grove,Yea,Rona,Ambrose,Alberta,Conservative,true,false,false,Negatived,25447
38,1,2005-06-27T23:30:26,148,Mr.,Calgary West,Yea,Rob,Anders,Alberta,Conservative,true,false,false,Negatived,1313
38,1,2005-06-27T23:30:26,148,Mr.,Victoria,Nay,David,Anderson,British Columbia,Liberal,false,true,false,Negatived,1635
38,1,2005-06-27T23:30:26,148,Mr.,Cypress Hills—Grasslands,Yea,David,Anderson,Saskatchewan,Conservative,true,false,false,Negatived,1795
38,1,2005-06-27T23:30:26,148,Mr.,Berthier—Maskinongé,Nay,Guy,André,Quebec,Bloc Québécois,false,true,false,Negatived,25469
38,1,2005-06-27T23:30:26,148,Mr.,Timmins—James Bay,Nay,Charlie,Angus,Ontario,NDP,false,true,false,Negatived,25470
38,1,2005-06-27T23:30:26,148,Ms.,Etobicoke—Lakeshore,Nay,Jean,Augustine,Ontario,Liberal,false,true,false,Negatived,632
38,1,2005-06-27T23:30:26,148,Mr.,Saint-Jean,Nay,Claude,Bachand,Quebec,Bloc Québécois,false,true,false,Negatived,449
38,1,2005-06-27T23:30:26,148,Mr.,Yukon,Nay,Larry,Bagnell,Yukon,Liberal,false,true,false,Negatived,1796
38,1,2005-06-27T23:30:26,148,Mr.,Mississauga—Brampton South,Nay,Navdeep,Bains,Ontario,Liberal,false,true,false,Negatived,25471
38,1,2005-06-27T23:30:26,148,Ms.,Ahuntsic,Nay,Eleni,Bakopanos,Quebec,Liberal,false,true,false,Negatived,151
38,1,2005-06-27T23:30:26,148,Mrs.,London West,Nay,Sue,Barnes,Ontario,Liberal,false,true,false,Negatived,768
38,1,2005-06-27T23:30:26,148,Mr.,Palliser,Yea,Dave,Batters,Saskatchewan,Conservative,true,false,false,Negatived,25472
38,1,2005-06-27T23:30:26,148,Mr.,Ottawa—Vanier,Nay,Mauril,Bélanger,Ontario,Liberal,false,true,false,Negatived,873
38,1,2005-06-27T23:30:26,148,Mr.,North Vancouver,Nay,Don,Bell,British Columbia,Liberal,false,true,false,Negatived,25473
38,1,2005-06-27T23:30:26,148,Mr.,Richmond—Arthabaska,Nay,André,Bellavance,Quebec,Bloc Québécois,false,true,false,Negatived,25474
38,1,2005-06-27T23:30:26,148,Ms.,St. Paul's,Nay,Carolyn,Bennett,Ontario,Liberal,false,true,false,Negatived,992
38,1,2005-06-27T23:30:26,148,Mr.,Vegreville—Wainwright,Yea,Leon,Benoit,Alberta,Conservative,true,false,false,Negatived,1365
38,1,2005-06-27T23:30:26,148,Mr.,Verchères—Les Patriotes,Paired,Stéphane,Bergeron,Quebec,Bloc Québécois,false,false,true,Negatived,496
38,1,2005-06-27T23:30:26,148,Mr.,Vaughan,Nay,Maurizio,Bevilacqua,Ontario,Liberal,false,true,false,Negatived,1059
38,1,2005-06-27T23:30:26,148,Mr.,Selkirk—Interlake,Yea,James,Bezan,Manitoba,Conservative,true,false,false,Negatived,25475
38,1,2005-06-27T23:30:26,148,Mr.,Rosemont—La Petite-Patrie,Nay,Bernard,Bigras,Quebec,Bloc Québécois,false,true,false,Negatived,427
38,1,2005-06-27T23:30:26,148,Mr.,Elmwood—Transcona,Nay,Bill,Blaikie,Manitoba,NDP,false,true,false,Negatived,1200
38,1,2005-06-27T23:30:26,148,Mr.,Gaspésie—Îles-de-la-Madeleine,Nay,Raynald,Blais,Quebec,Bloc Québécois,false,true,false,Negatived,25476
38,1,2005-06-27T23:30:26,148,Ms.,Western Arctic,Nay,Ethel,Blondin-Andrew,Northwest Territories,Liberal,false,true,false,Negatived,1667
38,1,2005-06-27T23:30:26,148,Mr.,Beauharnois—Salaberry,Nay,Alain,Boire,Quebec,Bloc Québécois,false,true,false,Negatived,25477
38,1,2005-06-27T23:30:26,148,Ms.,Gatineau,Nay,Françoise,Boivin,Quebec,Liberal,false,true,false,Negatived,25478
38,1,2005-06-27T23:30:26,148,Mr.,Nickel Belt,Yea,Raymond,Bonin,Ontario,Liberal,true,false,false,Negatived,823
